Wall time,Step,Value
1694332073.3756537,6546,12.202877044677734
1694332073.853684,6551,12.201640129089355
1694332074.9150743,6564,12.198441505432129
1694332075.331765,6569,12.197226524353027
1694332076.6795847,6585,12.19324016571045
1694332077.092654,6590,12.191986083984375
1694332077.8744109,6599,12.189709663391113
1694332079.385946,6615,12.185705184936523
1694332084.627474,6673,12.170866012573242
1694332088.978916,6720,12.158520698547363
1694332089.8105736,6730,12.155869483947754
1694332091.4480593,6750,12.15054702758789
1694332095.787091,6802,12.136396408081055
1694332099.5803914,6842,12.12529182434082
1694332100.2312357,6850,12.123026847839355
1694332105.7610462,6916,12.104167938232422
1694332106.0062182,6919,12.103301048278809
1694332106.9045064,6930,12.100099563598633
1694332112.375111,6991,12.082097053527832
1694332112.7849853,6996,12.080623626708984
1694332112.948162,6998,12.080005645751953
1694332117.574249,7054,12.062945365905762
1694332123.4175894,7117,12.043210983276367
1694332123.6625938,7120,12.042274475097656
1694332124.1845317,7126,12.040371894836426
1694332127.4733245,7164,12.028158187866211
1694332131.560088,7207,12.014091491699219
1694332135.3959253,7253,11.998783111572266
1694332137.21138,7274,11.991654396057129
1694332140.1636093,7308,11.98002815246582
1694332143.100662,7338,11.969598770141602
1694332144.4063013,7353,11.964332580566406
1694332145.6864233,7367,11.959383964538574
1694332151.6949847,7436,11.934585571289062
1694332153.9925635,7464,11.924301147460938
1694332154.3220015,7468,11.922829627990723
1694332154.5184877,7470,11.922087669372559
1694332155.739099,7482,11.917638778686523
1694332157.9100528,7506,11.908658027648926
1694332158.9679892,7518,11.90413761138916
1694332160.1867418,7532,11.898811340332031
1694332161.352486,7543,11.894609451293945
1694332165.7369392,7593,11.875263214111328
1694332166.4668584,7602,11.871766090393066
1694332166.6286976,7604,11.870965957641602
1694332169.4035285,7638,11.857507705688477
1694332169.8904266,7644,11.85510540008545
1694332171.2037108,7660,11.848724365234375
1694332176.8099844,7727,11.821395874023438
1694332177.138338,7730,11.820122718811035
1694332179.6287332,7756,11.809289932250977
1694332183.0012767,7794,11.793235778808594
1694332183.0831184,7795,11.792806625366211
1694332185.4306529,7821,11.781691551208496
1694332186.8336437,7838,11.7743558883667
1694332188.3505042,7855,11.766949653625488
1694332191.7383068,7895,11.74930477142334
1694332192.2291222,7901,11.746652603149414
1694332194.7350366,7929,11.734105110168457
1694332199.5898962,7986,11.70814037322998
1694332204.8360722,8046,11.680135726928711
1694332207.6162128,8078,11.664862632751465
1694332211.4045572,8122,11.643553733825684
1694332213.1919212,8144,11.632763862609863
1694332214.9018075,8164,11.622875213623047
1694332219.319736,8216,11.596794128417969
1694332220.446508,8229,11.590174674987793
1694332224.8571067,8277,11.565478324890137
1694332226.0045862,8291,11.558177947998047
1694332226.4202652,8296,11.555581092834473
1694332232.3051317,8363,11.520008087158203
1694332233.520525,8377,11.512456893920898
1694332235.1362243,8397,11.5015869140625
1694332242.8555346,8491,11.449381828308105
1694332247.9849436,8548,11.416762351989746
1694332248.5425158,8554,11.413299560546875
1694332249.2685711,8563,11.408073425292969
1694332253.7847788,8618,11.375724792480469
1694332257.1453469,8659,11.351177215576172
1694332257.4701586,8663,11.348760604858398
1694332260.4701374,8694,11.329906463623047
1694332262.5066833,8718,11.315146446228027
1694332262.9923854,8724,11.311421394348145
1694332265.255969,8752,11.294021606445312
1694332267.191271,8776,11.278938293457031
1694332267.3507016,8778,11.277701377868652
1694332271.4312499,8823,11.249029159545898
1694332272.3915687,8833,11.242595672607422
1694332275.356635,8865,11.221871376037598
1694332275.7627654,8870,11.218597412109375
1694332276.3366091,8877,11.21402359008789
1694332279.6239939,8917,11.187638282775879
1694332279.9499943,8921,11.1849946975708
1694332285.9561832,8985,11.141866683959961
1694332287.7481833,9006,11.1275053024292
1694332290.0206034,9033,11.108895301818848
1694332292.3472219,9058,11.091479301452637
1694332297.5535936,9121,11.046950340270996
1694332300.0493376,9152,11.024640083312988
1694332304.9656,9212,10.980852127075195
1694332308.2419288,9252,10.951128959655762
1694332311.882122,9291,10.921748161315918
1694332312.8723235,9303,10.912635803222656
1694332313.5977392,9312,10.905767440795898
1694332314.8068473,9327,10.894307136535645
1694332316.288362,9345,10.880444526672363
1694332317.460146,9359,10.869625091552734
1694332318.5115151,9372,10.859498023986816
1694332318.9111495,9377,10.855607986450195
1694332319.716737,9387,10.847804069519043
1694332325.5483887,9456,10.793204307556152
1694332332.7093678,9538,10.726682662963867
1694332333.4284537,9547,10.719269752502441
1694332334.9565997,9566,10.703559875488281
1694332343.3798707,9671,10.615070343017578
1694332343.4618409,9672,10.614216804504395
1694332346.659113,9712,10.579730033874512
1694332349.9484398,9753,10.543983459472656
1694332350.0292494,9754,10.543095588684082
1694332351.4833224,9772,10.527252197265625
1694332354.8692753,9813,10.490830421447754
1694332355.7515843,9824,10.480995178222656
1694332356.8137565,9837,10.469305038452148
1694332357.8681364,9850,10.457606315612793
1694332359.235743,9867,10.442215919494629
1694332361.3973005,9894,10.417613983154297
1694332363.2369657,9917,10.396522521972656
1694332365.7117615,9948,10.3678617477417
1694332365.794365,9949,10.366922378540039
1694332365.8737817,9950,10.365983009338379
1694332366.6705203,9960,10.356688499450684
1694332367.705319,9973,10.344555854797363
1694332368.1821003,9979,10.338958740234375
1694332369.29798,9993,10.325806617736816
1694332374.889937,10063,10.259407997131348
1694332377.051596,10090,10.233436584472656
1694332379.5308096,10121,10.203398704528809
1694332380.8936183,10138,10.186836242675781
1694332385.1356797,10191,10.134734153747559
1694332386.4868329,10208,10.117857933044434
1694332387.0428045,10215,10.110904693603516
1694332391.6016445,10269,10.056753158569336
1694332392.515631,10280,10.04562759399414
1694332397.707378,10342,9.98243522644043
1694332397.972343,10345,9.979347229003906
1694332398.0577712,10346,9.978311538696289
1694332402.4394119,10395,9.927651405334473
1694332407.063857,10445,9.875391006469727
1694332407.6351922,10451,9.869075775146484
1694332407.7137952,10452,9.868024826049805
1694332408.3171136,10458,9.861706733703613
1694332412.1729908,10501,9.816142082214355
1694332413.6853137,10518,9.798008918762207
1694332417.4311159,10561,9.751885414123535
1694332420.3814359,10596,9.71400260925293
1694332423.433543,10633,9.673670768737793
1694332424.3117306,10643,9.662748336791992
1694332424.4683154,10645,9.660554885864258
1694332429.34219,10707,9.59217357635498
1694332430.1264963,10717,9.58106517791748
1694332430.6761599,10724,9.573282241821289
1694332434.498229,10771,9.520730018615723
1694332440.2030125,10842,9.440522193908691
1694332455.3305209,11023,9.231642723083496
1694332455.726234,11028,9.22577953338623
1694332456.3563097,11036,9.216402053833008
1694332457.7752492,11054,9.195297241210938
1694332460.9387386,11094,9.148159980773926
1694332462.8356416,11118,9.11972713470459
1694332463.3106613,11124,9.11259651184082
1694332463.3904407,11125,9.111412048339844
1694332466.164085,11159,9.070941925048828
1694332467.2935882,11170,9.057826042175293
1694332470.979677,11212,9.007543563842773
1694332471.4680502,11218,9.000338554382324
1694332472.1141489,11226,8.990716934204102
1694332480.7014418,11330,8.864889144897461
1694332480.7789044,11331,8.863682746887207
1694332486.0001478,11394,8.786762237548828
1694332486.9076033,11404,8.774520874023438
1694332487.33094,11409,8.768397331237793
1694332490.0827904,11443,8.726618766784668
1694332490.5124412,11448,8.720455169677734
1694332491.7165797,11461,8.704463005065918
1694332491.88515,11463,8.70199966430664
1694332497.484783,11526,8.624122619628906
1694332502.7747545,11578,8.559596061706543
1694332505.771824,11611,8.518470764160156
1694332513.6544962,11696,8.412221908569336
1694332516.8297462,11736,8.362043380737305
1694332518.5073469,11756,8.336892127990723
1694332519.2239907,11765,8.32556438446045
1694332520.887771,11786,8.299138069152832
1694332523.3990111,11817,8.260098457336426
1694332523.5586982,11819,8.257562637329102
1694332525.754953,11847,8.22223949432373
1694332527.335341,11867,8.19701862335205
1694332528.0452452,11876,8.185641288757324
1694332528.5215683,11882,8.178050994873047
1694332534.3006747,11955,8.085715293884277
1694332535.6294916,11972,8.06419563293457
1694332539.909174,12027,7.99451208114624
1694332543.7191541,12076,7.932394504547119
1694332552.5306509,12175,7.806836128234863
1694332552.8807237,12179,7.801764011383057
1694332557.4470725,12235,7.730784893035889
1694332560.2272742,12271,7.685172080993652
1694332562.6175427,12302,7.645939350128174
1694332562.7749274,12304,7.643401145935059
1694332563.7024474,12316,7.628212928771973
1694332566.6288548,12354,7.580153942108154
1694332569.7096212,12394,7.529632568359375
1694332570.0184414,12398,7.524580001831055
1694332570.1720011,12400,7.522063255310059
1694332571.7890246,12421,7.495559215545654
1694332571.866043,12422,7.494293689727783
1694332573.0204449,12437,7.475386619567871
1694332573.9410114,12449,7.460267543792725
1694332576.0619667,12476,7.42626428604126
1694332576.2186818,12478,7.423745155334473
1694332576.3749764,12480,7.421224117279053
1694332582.1276207,12554,7.328273296356201
1694332585.7519205,12601,7.269415855407715
1694332589.378051,12648,7.210712909698486
1694332593.9815104,12708,7.136022090911865
1694332599.6370463,12782,7.044321060180664
1694332600.3218586,12791,7.033202171325684
1694332608.7299085,12901,6.897955417633057
1694332609.0364406,12905,6.89305305480957
